"id","dam","sire","sex"
"TP41884","TJ25269","TL39126",NA
"TP41666","TL36390","X237912",NA
"TP41668","TL36390","X237912",NA
"TP41669","TL36390","X237912",NA
"TP41665","TL36390","X237912",NA
"TP41663","TL36390","X237912",NA
"TP41672","TL36390","X237912",NA
"TP41664","TL36390","X237912",NA
"TP41667","TL36390","X237912",NA
"TP41671","TL36390","X237912",NA
"TP41670","TL36390","X237912",NA
"TP41867","TL37131","TL37033",NA
"TP41866","TL37131","TL37033",NA
"TP41872","TL37131","TL37033",NA
"TP41868","TL37131","TL37033",NA
"TP41871","TL37131","TL37033",NA
"TP41869","TL37131","TL37033",NA
"TP41870","TL37131","TL37033",NA
"TP41737","TK26692","X237905",NA
"TP41736","TK26692","X237905",NA
"TP41738","TK26692","X237905",NA
"TP41739","TK26692","X237905",NA
"TP41873","T640328","TC59352",NA
"TP41878","T640328","TC59352",NA
"TP41877","T640328","TC59352",NA
"TP41875","T640328","TC59352",NA
"TP41879","T640328","TC59352",NA
"TP41874","T640328","TC59352",NA
"TP41876","T640328","TC59352",NA
"TP41580","T640613",NA,NA
"TP41579","T640613",NA,NA
"TP41585","T640613",NA,NA
"TP41586","T640613",NA,NA
"TP41581","T640613",NA,NA
"TP41578","T640613",NA,NA
"TP41583","T640613",NA,NA
"TP41582","T640613",NA,NA
"TP41584","T640613",NA,NA
"TP41643","X237910","TL39013",NA
"TP41641","X237910","TL39013",NA
"TP41645","X237910","TL39013",NA
"TP41640","X237910","TL39013",NA
"TP41642","X237910","TL39013",NA
"TP41646","X237910","TL39013",NA
"TP41644","X237910","TL39013",NA
"TP41647","X237910","TL39013",NA
"TP41639","X237910","TL39013",NA
"TP41685","TK27679","TK26867",NA
"TP41693","TK27679","TK26867",NA
"TP41687","TK27679","TK26867",NA
"TP41692","TK27679","TK26867",NA
"TP41689","TK27679","TK26867",NA
"TP41688","TK27679","TK26867",NA
"TP41686","TK27679","TK26867",NA
"TP41690","TK27679","TK26867",NA
"TP41694","TK27679","TK26867",NA
"TP41691","TK27679","TK26867",NA
"TP41576","TJ27586","TK27817",NA
"TP41570","TJ27586","TK27817",NA
"TP41573","TJ27586","TK27817",NA
"TP41571","TJ27586","TK27817",NA
"TP41569","TJ27586","TK27817",NA
"TP41575","TJ27586","TK27817",NA
"TP41577","TJ27586","TK27817",NA
"TP41572","TJ27586","TK27817",NA
"TP41574","TJ27586","TK27817",NA
"TP25686","TK27856","X239806",NA
"TP25685","TK27856","X239806",NA
"TP25687","TK27856","X239806",NA
"TP25682","TK27856","X239806",NA
"TP25683","TK27856","X239806",NA
"TP25689","TK27856","X239806",NA
"TP25688","TK27856","X239806",NA
"TP25684","TK27856","X239806",NA
"TP41634","TJ26240","TL39605",NA
"TP41630","TJ26240","TL39605",NA
"TP41631","TJ26240","TL39605",NA
"TP41638","TJ26240","TL39605",NA
"TP41635","TJ26240","TL39605",NA
"TP41633","TJ26240","TL39605",NA
"TP41637","TJ26240","TL39605",NA
"TP41632","TJ26240","TL39605",NA
"TP41636","TJ26240","TL39605",NA
"TP41706","X237914","TJ27916",NA
"TP41711","X237914","TJ27916",NA
"TP41709","X237914","TJ27916",NA
"TP41708","X237914","TJ27916",NA
"TP41712","X237914","TJ27916",NA
"TP41710","X237914","TJ27916",NA
"TP41707","X237914","TJ27916",NA
"TP41705","X237914","TJ27916",NA
"TP41704","X237914","TJ27916",NA
"TP41713","X237914","TJ27916",NA
"TP25677","TL37151","X235177",NA
"TP25679","TL37151","X235177",NA
"TP25674","TL37151","X235177",NA
"TP25680","TL37151","X235177",NA
"TP25676","TL37151","X235177",NA
"TP25675","TL37151","X235177",NA
"TP25678","TL37151","X235177",NA
"TP25681","TL37151","X235177",NA
"TP41728","TL37155","TL39206",NA
"TP41727","TL37155","TL39206",NA
"TP41725","TL37155","TL39206",NA
"TP41726","TL37155","TL39206",NA
"TP25758","TL37072","TC59500",NA
"TP25757","TL37072","TC59500",NA
"TP25759","TL37072","TC59500",NA
"TP25765","TL37072","TC59500",NA
"TP25763","TL37072","TC59500",NA
"TP25762","TL37072","TC59500",NA
"TP25761","TL37072","TC59500",NA
"TP25760","TL37072","TC59500",NA
"TP25764","TL37072","TC59500",NA
"TP25714","TJ26190","T640706",NA
"TP25717","TJ26190","T640706",NA
"TP25716","TJ26190","T640706",NA
"TP25720","TJ26190","T640706",NA
"TP25719","TJ26190","T640706",NA
"TP25713","TJ26190","T640706",NA
"TP25715","TJ26190","T640706",NA
"TP25718","TJ26190","T640706",NA
"TP25571","TB26663","T640355",NA
"TP25566","TB26663","T640355",NA
"TP25569","TB26663","T640355",NA
"TP25568","TB26663","T640355",NA
"TP25567","TB26663","T640355",NA
"TP25565","TB26663","T640355",NA
"TP25572","TB26663","T640355",NA
"TP25570","TB26663","T640355",NA
"TP25673","TA16681","X239805",NA
"TP25668","TA16681","X239805",NA
"TP25666","TA16681","X239805",NA
"TP25671","TA16681","X239805",NA
"TP25672","TA16681","X239805",NA
"TP25667","TA16681","X239805",NA
"TP25665","TA16681","X239805",NA
"TP25670","TA16681","X239805",NA
"TP25664","TA16681","X239805",NA
"TP25669","TA16681","X239805",NA
"TP25659","X239802",NA,NA
"TP25657","X239802",NA,NA
"TP25661","X239802",NA,NA
"TP25660","X239802",NA,NA
"TP25662","X239802",NA,NA
"TP25663","X239802",NA,NA
"TP25658","X239802",NA,NA
"TP25646","T640707","X239803",NA
"TP25641","T640707","X239803",NA
"TP25647","T640707","X239803",NA
"TP25645","T640707","X239803",NA
"TP25643","T640707","X239803",NA
"TP25644","T640707","X239803",NA
"TP25648","T640707","X239803",NA
"TP25642","T640707","X239803",NA
"TP25731","X239809","X239810",NA
"TP25724","X239809","X239810",NA
"TP25725","X239809","X239810",NA
"TP25723","X239809","X239810",NA
"TP25721","X239809","X239810",NA
"TP25726","X239809","X239810",NA
"TP25730","X239809","X239810",NA
"TP25728","X239809","X239810",NA
"TP25729","X239809","X239810",NA
"TP25722","X239809","X239810",NA
"TP25727","X239809","X239810",NA
"TP25861","R639267","T177667",NA
"TP25862","R639267","T177667",NA
"TP25863","R639267","T177667",NA
"TP25860","R639267","T177667",NA
"TP25864","R639267","T177667",NA
"TP25865","R639267","T177667",NA
"TP25859","R639267","T177667",NA
"TP25793","T177665","T640820",NA
"TP25799","T177665","T640820",NA
"TP25800","T177665","T640820",NA
"TP25796","T177665","T640820",NA
"TP25797","T177665","T640820",NA
"TP25794","T177665","T640820",NA
"TP25795","T177665","T640820",NA
"TP25801","T177665","T640820",NA
"TP25798","T177665","T640820",NA
"TP25655","TJ26161","T640819",NA
"TP25652","TJ26161","T640819",NA
"TP25650","TJ26161","T640819",NA
"TP25654","TJ26161","T640819",NA
"TP25653","TJ26161","T640819",NA
"TP25651","TJ26161","T640819",NA
"TP25656","TJ26161","T640819",NA
"TP25649","TJ26161","T640819",NA
"TP25837","E018353","X239811",NA
"TP25840","E018353","X239811",NA
"TP25836","E018353","X239811",NA
"TP25839","E018353","X239811",NA
"TP25841","E018353","X239811",NA
"TP25835","E018353","X239811",NA
"TP25838","E018353","X239811",NA
"TL37685","TC58932","TL37449",NA
"TL37686","TC58932","TL37449",NA
"TL37683","TC58932","TL37449",NA
"TL37682","TC58932","TL37449",NA
"TL37679","TC58932","TL37449",NA
"TL37680","TC58932","TL37449",NA
"TL37681","TC58932","TL37449",NA
"TL37684","TC58932","TL37449",NA
"TL37872","X235626","TC58628",NA
"TL37871","X235626","TC58628",NA
"TL37869","X235626","TC58628",NA
"TL37870","X235626","TC58628",NA
"TL37838","E018368","TK27018",NA
"TL37844","E018368","TK27018",NA
"TL37843","E018368","TK27018",NA
"TL37839","E018368","TK27018",NA
"TL37842","E018368","TK27018",NA
"TL37840","E018368","TK27018",NA
"TL37841","E018368","TK27018",NA
"TL37845","E018368","TK27018",NA
"TL37834","J644960","TL39083",NA
"TL37837","J644960","TL39083",NA
"TL37832","J644960","TL39083",NA
"TL37836","J644960","TL39083",NA
"TL37835","J644960","TL39083",NA
"TL37827","J644960","TL39083",NA
"TL37828","J644960","TL39083",NA
"TL37830","J644960","TL39083",NA
"TL37833","J644960","TL39083",NA
"TL37829","J644960","TL39083",NA
"TL37826","J644960","TL39083",NA
"TL37831","J644960","TL39083",NA
"TL37866","TL39029","X235632",NA
"TL37860","TL39029","X235632",NA
"TL37865","TL39029","X235632",NA
"TL37862","TL39029","X235632",NA
"TL37864","TL39029","X235632",NA
"TL37861","TL39029","X235632",NA
"TL37863","TL39029","X235632",NA
"TL37813","TJ26252","X235625",NA
"TL37814","TJ26252","X235625",NA
"TL37811","TJ26252","X235625",NA
"TL37812","TJ26252","X235625",NA
"TL37810","TJ26252","X235625",NA
"TL37817","TJ26252","X235625",NA
"TL37816","TJ26252","X235625",NA
"TL37815","TJ26252","X235625",NA
"TL37801","TK25698","TK27631",NA
"TL37802","TK25698","TK27631",NA
"TL37804","TK25698","TK27631",NA
"TL37803","TK25698","TK27631",NA
"TL37808","TK25698","TK27631",NA
"TL37807","TK25698","TK27631",NA
"TL37806","TK25698","TK27631",NA
"TL37809","TK25698","TK27631",NA
"TL37805","TK25698","TK27631",NA
"TL37848","TL39300","T640788",NA
"TL37849","TL39300","T640788",NA
"TL37850","TL39300","T640788",NA
"TL37853","TL39300","T640788",NA
"TL37851","TL39300","T640788",NA
"TL37847","TL39300","T640788",NA
"TL37852","TL39300","T640788",NA
"TL37854","TL39300","T640788",NA
"TL37846","TL39300","T640788",NA
"TP25167","R639129","TK26910",NA
"TP25165","R639129","TK26910",NA
"TP25169","R639129","TK26910",NA
"TP25161","R639129","TK26910",NA
"TP25164","R639129","TK26910",NA
"TP25163","R639129","TK26910",NA
"TP25160","R639129","TK26910",NA
"TP25168","R639129","TK26910",NA
"TP25166","R639129","TK26910",NA
"TP25162","R639129","TK26910",NA
"TP25135","T176928","X239910",NA
"TP25130","T176928","X239910",NA
"TP25132","T176928","X239910",NA
"TP25131","T176928","X239910",NA
"TP25128","T176928","X239910",NA
"TP25133","T176928","X239910",NA
"TP25129","T176928","X239910",NA
"TP25134","T176928","X239910",NA
"TP25060","X239905","TL37455",NA
"TP25066","X239905","TL37455",NA
"TP25065","X239905","TL37455",NA
"TP25064","X239905","TL37455",NA
"TP25061","X239905","TL37455",NA
"TP25062","X239905","TL37455",NA
"TP25063","X239905","TL37455",NA
"TP25059","X239905","TL37455",NA
"TP25508","TL39061",NA,NA
"TP25513","TL39061",NA,NA
"TP25509","TL39061",NA,NA
"TP25510","TL39061",NA,NA
"TP25514","TL39061",NA,NA
"TP25511","TL39061",NA,NA
"TP25512","TL39061",NA,NA
"TP25846","TB27445","TL39041",NA
"TP25845","TB27445","TL39041",NA
"TP25842","TB27445","TL39041",NA
"TP25847","TB27445","TL39041",NA
"TP25848","TB27445","TL39041",NA
"TP25844","TB27445","TL39041",NA
"TP25843","TB27445","TL39041",NA
"TP25695","TK26531",NA,NA
"TP25690","TK26531",NA,NA
"TP25696","TK26531",NA,NA
"TP25691","TK26531",NA,NA
"TP25693","TK26531",NA,NA
"TP25698","TK26531",NA,NA
"TP25692","TK26531",NA,NA
"TP25694","TK26531",NA,NA
"TP25697","TK26531",NA,NA
"TP25820","TK27889",NA,NA
"TP25818","TK27889",NA,NA
"TP25823","TK27889",NA,NA
"TP25819","TK27889",NA,NA
"TP25822","TK27889",NA,NA
"TP25816","TK27889",NA,NA
"TP25821","TK27889",NA,NA
"TP25817","TK27889",NA,NA
"TP25805","X239812",NA,NA
"TP25803","X239812",NA,NA
"TP25804","X239812",NA,NA
"TP25806","X239812",NA,NA
"TP25802","X239812",NA,NA
"TP25006","TE79914","TK25711",NA
"TP25009","TE79914","TK25711",NA
"TP25001","TE79914","TK25711",NA
"TP25005","TE79914","TK25711",NA
"TP25008","TE79914","TK25711",NA
"TP25002","TE79914","TK25711",NA
"TP25004","TE79914","TK25711",NA
"TP25007","TE79914","TK25711",NA
"TP25003","TE79914","TK25711",NA
"TP25125","E018348","VF63748",NA
"TP25124","E018348","VF63748",NA
"TP25123","E018348","VF63748",NA
"TP25121","E018348","VF63748",NA
"TP25127","E018348","VF63748",NA
"TP25126","E018348","VF63748",NA
"TP25120","E018348","VF63748",NA
"TP25122","E018348","VF63748",NA
"TP25159","N199705","T176985",NA
"TP25151","N199705","T176985",NA
"TP25158","N199705","T176985",NA
"TP25155","N199705","T176985",NA
"TP25153","N199705","T176985",NA
"TP25152","N199705","T176985",NA
"TP25154","N199705","T176985",NA
"TP25157","N199705","T176985",NA
"TP25156","N199705","T176985",NA
"TP25086","X239907","TL39277",NA
"TP25082","X239907","TL39277",NA
"TP25090","X239907","TL39277",NA
"TP25088","X239907","TL39277",NA
"TP25083","X239907","TL39277",NA
"TP25085","X239907","TL39277",NA
"TP25084","X239907","TL39277",NA
"TP25087","X239907","TL39277",NA
"TP25089","X239907","TL39277",NA
"TP25023","VE32625","TK26924",NA
"TP25025","VE32625","TK26924",NA
"TP25022","VE32625","TK26924",NA
"TP25021","VE32625","TK26924",NA
"TP25024","VE32625","TK26924",NA
"TP25019","VE32625","TK26924",NA
"TP25020","VE32625","TK26924",NA
"TP25068","X239906","TL37528",NA
"TP25071","X239906","TL37528",NA
"TP25067","X239906","TL37528",NA
"TP25070","X239906","TL37528",NA
"TP25069","X239906","TL37528",NA
"TP25072","X239906","TL37528",NA
"TP25037","X239901","E018361",NA
"TP25038","X239901","E018361",NA
"TP25040","X239901","E018361",NA
"TP25034","X239901","E018361",NA
"TP25036","X239901","E018361",NA
"TP25033","X239901","E018361",NA
"TP25035","X239901","E018361",NA
"TP25039","X239901","E018361",NA
"TP25114","T640728","TL39062",NA
"TP25116","T640728","TL39062",NA
"TP25118","T640728","TL39062",NA
"TP25117","T640728","TL39062",NA
"TP25113","T640728","TL39062",NA
"TP25119","T640728","TL39062",NA
"TP25115","T640728","TL39062",NA
