"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"SW57",-0.268190109444671,0.0895010349237696,NA,NA,3,3,1.8,2.66666666666667,2.61904761904762,2.59259259259259,2.15,0,0,1,1,5,14,20,26,36,58,5437.21120262565,37993.6389601642,127.434,140.738,0.99364868,"2","1",7,54
"SW58",-0.247863247863247,0.281273208066741,NA,NA,2,2.58333333333333,2.6,2.61111111111111,2.7,2.69565217391304,2.36363636363636,0,0,2,11,14,17,19,22,25,42,2654.14565020287,20845.340336944,70.7497,143.612,0.98353238,"3","1",3,36
"SW59",-0.223612860116677,0.205215055495043,NA,2.75,3,2.5,2.6,2.61111111111111,2.61111111111111,2.7,2.73333333333333,0,4,7,11,14,17,17,19,22,28,2513.45473237056,16707.7343281013,16.265,144.754,0.009354828,"3","1",16,45
"SW6",-0.373507621159926,0.118924820484132,3,3,2.73333333333333,2.47619047619048,2.16129032258065,1.73015873015873,1.60674157303371,1.56565656565657,1.53846153846154,1,5,11,17,27,58,84,94,99,135,6399.84190331865,33957.6645176826,69.8763,135.837,-0.141378121,"3","2",15,55
"SW60",-0.631067961165058,0.756721226607706,3.2,3,2.77777777777778,2.61538461538462,2.66666666666667,2.625,2.65,2.875,2.52777777777778,4,7,8,12,14,15,19,22,22,34,1954.05397984013,6734.84079190949,4.83299,144.015,0.009354828,"3","1",3,11
"SW61",0.589552238805995,0.452401330335087,NA,2.71428571428571,2.72727272727273,2.64285714285714,2.625,2.63157894736842,2.65,2.75,2.25,0,6,10,13,15,18,19,22,29,42,2144.79992553592,15630.4577636665,44.926,144.974,0.998922704,"3","1",3,9
"SW62",-0.10657894736842,0.151975677817863,NA,3,2.85714285714286,2.64285714285714,2.64705882352941,2.63157894736842,2.59090909090909,2.55555555555556,2.11764705882353,0,1,6,13,16,18,21,25,36,49,2611.63728569821,21784.493324961,81.4167,143.851,0.962001466,"3","1",7,50
"SW63",-0.33437475892926,0.145952018189012,NA,3,2.33333333333333,2.55555555555556,2.66666666666667,2.35714285714286,2.18421052631579,2.02040816326531,1.8314606741573,0,1,6,9,17,26,36,47,67,87,5237.79425036989,30102.9788703615,110.237,143.317,0.909105286,"3","1",14,50
"SW64",-0.263693820224718,0.157839006518204,NA,3,2.75,2.75,2.20833333333333,2.07317073170732,1.96428571428571,1.8,1.76288659793814,0,2,8,11,23,39,54,73,83,94,1752.90540004568,35948.07455306,90.6676,144.304,-0.808031016,"3","1",8,33
"SW65",-0.764542936288074,0.148735664915914,NA,2.66666666666667,3.125,3,2.40909090909091,2.25,2,1.82191780821918,1.75789473684211,0,6,7,11,21,38,57,71,82,92,1840.42307384219,13025.5056448241,60.6181,145.852,0.302943789,"3","1",3,21
"SW66",-0.317231075697212,0.124462892266747,NA,2.75,2.63636363636364,2.69230769230769,2.8,2.95,2.95454545454545,2.72413793103448,2.03225806451613,0,4,10,12,14,18,20,27,45,60,1456.82070391008,12779.6425487815,3.57042,144.774,-0.782597292,"3","1",6,54
"SW67",-0.242670773164424,0.0945885243666311,3,2.5,2.42857142857143,2.83333333333333,3,2.8,2.38461538461538,2.11320754716981,1.79268292682927,1,4,7,11,16,23,37,51,65,80,1702.5816529328,13989.0614070401,11.7994,145.114,0.165288596,"3","1",13,54
