Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20221B165,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,18-04-2022,18,0,6,1.00,true,0,10-05-2022,10-05-2022,40,13,3.10,3,10,9,9,54,15,9,0,9,10.12,9,2,atr7912,atr7913,"atr7912, atr7913",,,,0,"fon unringed, not hatched, nothing on faceplates",,,,,,,,,
20221B166,b,Keith Mc Mahon,false,n,6,true,08-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,"full of leaves, quite nest shaped rather than mouse style, full of leaves",,,,,,,,,
20221B168,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,19-04-2022,19,0,6,1.00,true,0,10-05-2022,11-05-2022,41,14,3.30,3,9,8,8,55,15,8,0,8,10.16,8,2,,atr5937,"01103fc9cf, atr5937",,,,0,"not hatched, not hatched, nothing on FP",,,,,,,,,
20221B169,b,Keith Mc Mahon,false,g,6,true,08-06-2022,,,23-04-2022,23,0,3,3.00,true,0,13-05-2022,13-05-2022,43,13,5.00,3,8,8,7,57,15,7,1,6,15.84,7,3,ty68365,pf71388,"01103fb12a, 01103fab8c",,pf71075,,0,fon,,,,,,,,,
20221B170,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B170A,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,22-04-2022,22,0,2,0.33,true,0,12-05-2022,16-05-2022,46,16,,,9,8,4,60,15,4,2,4,8.45,4,2,,atr8066,atr8066,,,,0,"rehang, not hatched",,,,,,,,,
20221B171,b,Keith Mc Mahon,false,g,6,true,08-06-2022,,,20-04-2022,20,0,6,1.00,true,0,11-05-2022,12-05-2022,42,14,5.80,3,9,9,3,56,15,3,0,3,15.63,3,2,tw41728,tw41729,"tw41728, tw41729",,,,0,"fon unringed, not hatched, nothing on fp",,,,,,,,,
20221B172,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B173,b,Anett Kiss,false,b,6,true,22-06-2022,,,21-04-2022,21,0,10,0.75,true,0,11-05-2022,11-05-2022,41,13,4.50,4,8,7,7,55,15,7,0,7,10.37,7,1,,atr9810,atr9810,,,,0,"FON, FON sitting tight, not leaving, FON, faceplated",,,,,,,,,
20221B174,b,Keith Mc Mahon,false,b,6,true,08-06-2022,,,23-04-2022,23,0,3,3.00,true,0,12-05-2022,13-05-2022,43,14,3.20,3,7,5,5,57,15,5,0,5,10.88,5,1,,atr7920,atr7920,,,,0,"not hatched, not hatched, fon, nothing on faceplate, no luck with male",,,,,,,,,
20221B175,b,Anett Kiss,false,g,6,true,01-06-2022,,,16-04-2022,16,0,10,,true,0,06-05-2022,08-05-2022,38,15,4.80,3,8,7,7,52,15,7,1,6,18.20,7,2,vs84187,ty69246,"ty69246, vs84187",,ty69281,,0,"FON, sitting tight, FON, not hatched, FON sitting tight",,,,,,,,,
