Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,AFH4861,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,9.8,KMM,,,,,,,,,,10,10
N,AFH4862,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,10.7,KMM,,,,,,,,,,10,10
N,AFH4863,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,11.5,KMM,,,,,,,,,,10,10
N,AFH4864,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,10.2,KMM,,,,,,,,,,10,10
N,AFH4865,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,11.5,KMM,,,,,,,,,,10,10
N,AFH4866,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,10.5,KMM,,,,,,,,,,10,10
N,AFH4867,BLUTI,1,,25/05/2019 07:19,WYT,SW21,,,,,11.3,KMM,,,,,,,,,,10,10
O,S884359,BLUTI,5,F,28/04/2019 09:59,WYT,SW29,89,86,,,,KMM,,,,,,,,,,,
R,Z101894,BLUTI,6,M,17/05/2019 08:39,WYT,SW31,,,,64,10.5,KMM,,,,,M,19.4,,,,,
N,AND6863,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,11.2,KMM,,,,,,,,,,11,11
N,AND6864,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,11.4,KMM,,,,,,,,,,11,11
N,AND6865,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,10.8,KMM,,,,,,,,,,11,11
N,AND6866,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,11.1,KMM,,,,,,,,,,11,11
N,AND6867,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,10.1,KMM,,,,,,,,,,11,11
N,AND6868,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,11.3,KMM,,,,,,,,,,11,11
N,AND6869,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,10,KMM,,,,,,,,,,11,11
N,AND6870,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,10.8,KMM,,,,,,,,,,11,11
N,AND6900,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,10.6,KMM,,,,,,,,,,11,11
N,AND6871,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,9.7,KMM,,,,,,,,,,11,11
N,AND6872,BLUTI,1,,21/05/2019 11:29,WYT,SW31,,,,,10.9,KMM,,,,,,,,,,11,11
O,S882107,BLUTI,6,F,15/05/2019 12:00,WYT,SW38,89,86,,,,KMM,,,,,,,,,,,
O,Z628783,BLUTI,6,M,15/05/2019 12:00,WYT,SW38,89,86,,,,KMM,,,,,,,,,,,
